Data;DventoSI;DventoSG;Precipitacao;velocidadedovento;Njus;Nsv;Nsi;Nmon
06/04/2021;155,51;132,39;0;2,566667;0,7348;;;0,8691
07/04/2021;99,4;67,03;0;4,233333;0,7192;;;0,9037
08/04/2021;125,22;152,88;0;4,266667;0,6775;;;0,8098
09/04/2021;121,85;150,28;0;1,3;0,6529;1,11;;0,8394
10/04/2021;188,14;225,06;0;1,8;0,8092;1,17;;0,9432
11/04/2021;173,41;203,64;0,6;5,466667;0,7001;1,34;;0,8405
12/04/2021;200,69;245,46;1,2;2,8;0,7813;0,98;;0,8931
13/04/2021;270,75;253,1;0;1,466667;0,823;1,25;;1,0072
14/04/2021;251,18;225,17;0;2,633333;0,644;1,35;;0,8042
15/04/2021;294,76;264,87;0;2,033333;1,0677;1,44;;1,1145
16/04/2021;228,42;231,01;1,3;0,933333;1,231;1,37;;1,3541
17/04/2021;31;148,36;0;2,133333;0,7687;1,36;;0,9693
18/04/2021;54,53;107,11;0;2,333333;0,6349;1,45;;0,817
19/04/2021;50,62;141,59;0;2,1;0,7649;1,46;;0,9166
20/04/2021;67,58;159,55;0,8;3,733333;0,8151;1,51;;0,9742
21/04/2021;190,82;194,34;0;4,1;0,7869;1,63;;0,9353
22/04/2021;246,92;229,37;0,3;3,766667;0,7251;1,67;;0,8848
23/04/2021;256,41;239,27;0;3,566667;0,721;1,59;;0,8898
24/04/2021;255,14;239,22;0,3;1,3;0,53;1,52;;0,7476
25/04/2021;125,86;205,47;0,2;4,033333;0,7213;1,21;;0,9662
26/04/2021;34,32;141,47;0;3,6;0,7537;1,13;;0,8688
27/04/2021;144,11;153;0;3,133333;0,7399;1,26;;0,8475
28/04/2021;68,11;43,42;0;2,166667;0,817;1,31;;0,9126
29/04/2021;85,65;117,76;0;0,9;0,7751;1,38;;0,9134
30/04/2021;29,74;125,76;0;0,666667;0,7667;1,42;;0,9097
01/05/2021;60,85;59,49;0;1,6;0,8107;1,42;;0,9411
02/05/2021;113,03;125,8;0;null;0,8002;1,38;;0,9669
03/05/2021;131,31;158,62;0;2,366667;0,8554;1,41;;1,0167
04/05/2021;71,23;76,22;1;3,133333;0,8666;1,17;;0,9756
05/05/2021;61,72;139,17;9,4;3,866667;0,915;1,08;;1,0276
06/05/2021;62,62;31,21;0;4,533333;0,8784;1,09;;0,9824
07/05/2021;121,96;133,91;0;3,7;0,8179;1,18;1,0141;0,9218
08/05/2021;63,87;65,25;0;3,1;0,7036;1,26;0,9334;0,8302
09/05/2021;78,9;120,12;0,4;2,866667;0,728;1,29;0,8123;0,8965
10/05/2021;69,71;229,01;0,2;2,366667;0,824;1,27;0,8651;0,9688
11/05/2021;161,56;254,14;5,4;2,766667;0,6951;1,08;1,0755;0,8231
12/05/2021;153,33;170,53;0;2,466667;1,1484;1,17;0,9864;0,8777
13/05/2021;111,43;128,75;0;1,3;1,212;1,24;0,8721;1,3209
14/05/2021;154,31;193,83;0;0,966667;0,6645;1,21;0,8751;0,8753
15/05/2021;127,59;183,64;0;0,8;0,5621;1,22;0,8559;0,7476
16/05/2021;116,05;96,15;0;1,633333;0,7244;1,22;0,8386;0,8336
17/05/2021;165,55;145,18;0;2,6;0,7155;1,14;0,8732;0,863
18/05/2021;158,67;178,04;0;2,566667;0,6838;1,09;0,9175;0,8322
19/05/2021;193,18;255,43;0;2,033333;0,7112;1,13;0,8378;0,8308
20/05/2021;56,68;85,91;0;1,533333;0,6324;1,15;0,7971;0,7951
21/05/2021;45,49;77,37;0;2,1;0,656;1,18;0,7089;0,8097
22/05/2021;41,2;44,9;7,2;3,966667;0,7049;1,43;0,6324;0,8707
23/05/2021;34,54;112,46;0;7,066667;0,7161;1,25;0,6769;0,8635
24/05/2021;50,23;124,56;0;4,866667;0,7228;0,85;1,0716;0,8438
25/05/2021;53,23;29,37;0;3,3;0,7404;1,13;0,7822;0,9077
26/05/2021;36,58;101,42;0;1,133333;0,6565;1,12;0,7787;0,8183
27/05/2021;200,82;183,55;0;2,233333;0,8402;1,11;0,7781;0,9626
28/05/2021;302,26;278,77;0;2,833333;0,9957;1,14;0,7236;1,1329
29/05/2021;83,85;47,17;11,8;3,466667;1,0338;0,93;0,9249;1,173
30/05/2021;100,86;152,33;0;2,466667;1,042;0,97;0,8713;1,1554
31/05/2021;94,42;64,96;0;2,066667;1,0928;1,13;0,7667;1,1986
01/06/2021;69,92;128,75;0;1,8;0,9823;1,1;0,7774;1,1237
02/06/2021;213,76;201,34;0;2,866667;0,902;1,04;0,7958;1,0481
03/06/2021;205,37;191,61;0;1,166667;0,874;1,06;0,7829;1,0748
04/06/2021;133,23;170,91;0;2,633333;0,6157;1,12;0,6888;0,744
05/06/2021;64,36;121,87;0;3,3;0,6906;1,09;0,7398;0,7708
06/06/2021;73,18;99,19;14,8;2,166667;0,771;1,01;0,8392;0,8699
07/06/2021;73;48,39;0;2,766667;0,7422;1,1;0,7482;0,8589
08/06/2021;119,3;169,75;0;3,1;0,7734;1,17;0,6925;0,9512
09/06/2021;198,76;179,13;4,7;4,9;1,2583;1,21;0,5988;1,3713
10/06/2021;119,72;100,15;0,5;2,066667;0,727;1,13;0,7603;0,8975
11/06/2021;81,5;52,39;0;3,5;0,5741;0,97;0,9286;0,7769
12/06/2021;197,99;194,67;0;2,566667;0,9935;1,12;0,7953;1,1556
13/06/2021;187,86;172,58;0;1,866667;1,1044;1,16;0,764;1,2664
14/06/2021;104,81;93,25;0;2,033333;1,2786;1,16;0,7866;1,4357
15/06/2021;114,52;117,66;0,2;3;1,4081;0,96;0,996;1,5496
16/06/2021;171,96;187,24;0;3,3;1,4445;0,96;1,0312;1,553
17/06/2021;111,71;95,82;0;2,1;1,3659;0,99;0,8989;1,4805
18/06/2021;50,42;21,06;0;1,866667;1,3277;1,07;0,8537;1,4395
19/06/2021;154,38;204,2;0,6;2,2;1,4011;1,11;0,8226;1,5116
20/06/2021;98,3;147,17;6,4;2,366667;1,3845;1,04;0,8953;1,5303
21/06/2021;140,36;246,76;1,3;1,366667;1,4934;1,1;0,8443;1,6425
22/06/2021;206,97;193,22;0,5;2,533333;1,5499;1,15;0,7844;1,6968
23/06/2021;276,28;258,39;0,3;6,366667;1,4533;1,33;0,5105;1,6137
24/06/2021;73,43;45,45;37,2;4,6;1,4397;1,49;0,4012;1,573
25/06/2021;108,23;81,07;4;2,233333;1,3907;1,21;0,9381;1,5164
26/06/2021;106,88;66,57;0;2,166667;1,3339;1,32;0,8611;1,4564
27/06/2021;45,89;65,24;26,8;5,133333;1,3088;1,17;1,1566;1,4329
28/06/2021;144,62;209,38;0;4,866667;1,2921;1,45;1,0499;1,4101
29/06/2021;186,88;169,04;0,2;6,133333;1,2825;1,13;1,2944;1,445
30/06/2021;174,4;157,67;0;1,466667;0,5359;1,24;1,2084;0,6946
01/07/2021;134,06;134,79;0;2,033333;0,5653;1,46;1,0082;0,7687
02/07/2021;155,78;157,49;0;1,7;0,7455;1,48;1,0055;0,8606
